center,left,right,steering,throttle,reverse,speed
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_55_302.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_55_302.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_55_302.jpg,0,0,0,2.47155E-05
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_55_398.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_55_398.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_55_398.jpg,0,0,0,2.160031E-05
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_55_495.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_55_495.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_55_495.jpg,0,0,0,0.000008796
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_55_599.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_55_599.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_55_599.jpg,0,0,0,2.005578E-05
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_55_691.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_55_691.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_55_691.jpg,0,0,0,2.249453E-05
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_55_789.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_55_789.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_55_789.jpg,0,0,0,7.423057E-06
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_55_892.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_55_892.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_55_892.jpg,0,0,0,0.000011641
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_55_994.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_55_994.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_55_994.jpg,0,0,0,1.46763E-05
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_56_084.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_56_084.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_56_084.jpg,0,0,0,5.535405E-06
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_56_189.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_56_189.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_56_189.jpg,-0.1,0.1553307,0,0.09712621
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_56_313.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_56_313.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_56_313.jpg,0,0.103431,0,0.3300122
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_56_385.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_56_385.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_56_385.jpg,0,0,0,0.347384
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_56_479.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_56_479.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_56_479.jpg,0,0,0,0.3435278
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_56_604.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_56_604.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_56_604.jpg,0,0,0,0.3389515
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_56_689.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_56_689.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_56_689.jpg,-0.25,0,0,0.3344532
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_56_767.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_56_767.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_56_767.jpg,-0.45,0,0,0.3301274
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_56_899.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_56_899.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_56_899.jpg,0,0.1386237,0,0.4391588
/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/center_2018_08_15_09_19_57_000.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/left_2018_08_15_09_19_57_000.jpg,/home/prateeksawhney97/Documents/self-driving-car-2018/data/IMG/right_2018_08_15_09_19_57_000.jpg,0,0.1638265,0,0.6531014
